actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
,,,,,,,,,,,,,59.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,two,80.0,mpfi,9.4,135,6000,16.0,23.0,15645
,,,,,,,,,,,,,60.0,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,8.6,84,4800,26.0,32.0,8845
,,,,,,,,,,,,,61.0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,8.6,84,4800,26.0,32.0,8495
,,,,,,,,,,,,,62.0,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,8.6,84,4800,26.0,32.0,10595
,,,,,,,,,,,,,63.0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,8.6,84,4800,26.0,32.0,10245
,,,,,,,,,,,,,64.0,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122.0,idi,22.7,64,4650,36.0,42.0,10795
,,,,,,,,,,,,,65.0,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122.0,2bbl,8.6,84,4800,26.0,32.0,11245
,,,,,,,,,,,,,66.0,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,four,140.0,mpfi,8.0,120,5000,19.0,27.0,18280
,,,,,,,,,,,,,67.0,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,four,134.0,idi,22.0,72,4200,31.0,39.0,18344
,,,,,,,,,,,,,68.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,183.0,idi,21.5,123,4350,22.0,25.0,25552
,,,,,,,,,,,,,69.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,five,183.0,idi,21.5,123,4350,22.0,25.0,28248
,,,,,,,,,,,,,70.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,five,183.0,idi,21.5,123,4350,22.0,25.0,28176
,,,,,,,,,,,,,71.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,five,183.0,idi,21.5,123,4350,22.0,25.0,31600
,,,,,,,,,,,,,72.0,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,eight,234.0,mpfi,8.3,155,4750,16.0,18.0,34184
,,,,,,,,,,,,,73.0,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,eight,234.0,mpfi,8.3,155,4750,16.0,18.0,35056
,,,,,,,,,,,,,74.0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308.0,mpfi,8.0,184,4500,14.0,16.0,40960
,,,,,,,,,,,,,75.0,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,eight,304.0,mpfi,8.0,184,4500,14.0,16.0,45400
,,,,,,,,,,,,,76.0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,four,140.0,mpfi,8.0,175,5000,19.0,24.0,16503
,,,,,,,,,,,,,77.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92.0,2bbl,9.4,68,5500,37.0,41.0,5389
,,,,,,,,,,,,,78.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92.0,2bbl,9.4,68,5500,31.0,38.0,6189
,,,,,,,,,,,,,79.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,ohc,four,92.0,2bbl,9.4,68,5500,31.0,38.0,6669
,,,,,,,,,,,,,80.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,four,98.0,spdi,7.6,102,5500,24.0,30.0,7689
,,,,,,,,,,,,,81.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,four,110.0,spdi,7.5,116,5500,23.0,30.0,9959
,,,,,,,,,,,,,82.0,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122.0,2bbl,8.5,88,5000,25.0,32.0,8499
,,,,,,,,,,,,,83.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,ohc,four,156.0,spdi,7.0,145,5000,19.0,24.0,12629
,,,,,,,,,,,,,84.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,ohc,four,156.0,spdi,7.0,145,5000,19.0,24.0,14869
,,,,,,,,,,,,,85.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,ohc,four,156.0,spdi,7.0,145,5000,19.0,24.0,14489
,,,,,,,,,,,,,86.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,ohc,four,122.0,2bbl,8.5,88,5000,25.0,32.0,6989
,,,,,,,,,,,,,87.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,ohc,four,122.0,2bbl,8.5,88,5000,25.0,32.0,8189
,,,,,,,,,,,,,88.0,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,7.5,116,5500,23.0,30.0,9279
,,,,,,,,,,,,,89.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,7.5,116,5500,23.0,30.0,9279
,,,,,,,,,,,,,90.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,5499
,,,,,,,,,,,,,91.0,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,ohc,four,103.0,idi,21.9,55,4800,45.0,50.0,7099
,,,,,,,,,,,,,92.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,6649
,,,,,,,,,,,,,93.0,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,6849
,,,,,,,,,,,,,94.0,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,7349
,,,,,,,,,,,,,95.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,7299
,,,,,,,,,,,,,96.0,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,7799
,,,,,,,,,,,,,97.0,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,7499
,,,,,,,,,,,,,98.0,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,7999
,,,,,,,,,,,,,99.0,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008.0,ohc,four,97.0,2bbl,9.4,69,5200,31.0,37.0,8249
,,,,,,,,,,,,,100.0,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,ohc,four,120.0,2bbl,8.5,97,5200,27.0,34.0,8949
,,,,,,,,,,,,,101.0,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302.0,ohc,four,120.0,2bbl,8.5,97,5200,27.0,34.0,9549
,,,,,,,,,,,,,102.0,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095.0,ohcv,six,181.0,mpfi,9.0,152,5200,17.0,22.0,13499
,,,,,,,,,,,,,103.0,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296.0,ohcv,six,181.0,mpfi,9.0,152,5200,17.0,22.0,14399
,,,,,,,,,,,,,104.0,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,six,181.0,mpfi,9.0,152,5200,19.0,25.0,13499
,,,,,,,,,,,,,105.0,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071.0,ohcv,six,181.0,mpfi,9.0,160,5200,19.0,25.0,17199
,,,,,,,,,,,,,106.0,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,7.8,200,5200,17.0,23.0,19699
,,,,,,,,,,,,,107.0,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,9.0,160,5200,19.0,25.0,18399
,,,,,,,,,,,,,108.0,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,four,120.0,mpfi,8.4,97,5000,19.0,24.0,11900
,,,,,,,,,,,,,109.0,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197.0,l,four,152.0,idi,21.0,95,4150,28.0,33.0,13200
,,,,,,,,,,,,,110.0,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,four,120.0,mpfi,8.4,97,5000,19.0,24.0,12440
,,,,,,,,,,,,,111.0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430.0,l,four,152.0,idi,21.0,95,4150,25.0,25.0,13860
,,,,,,,,,,,,,112.0,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,8.4,95,5000,19.0,24.0,15580
,,,,,,,,,,,,,113.0,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,21.0,95,4150,28.0,33.0,16900
,,,,,,,,,,,,,114.0,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,four,120.0,mpfi,8.4,95,5000,19.0,24.0,16695
,,,,,,,,,,,,,115.0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,four,152.0,idi,21.0,95,4150,25.0,25.0,17075
,,,,,,,,,,,,,116.0,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,8.4,97,5000,19.0,24.0,16630
,,,,,,,,,,,,,117.0,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,21.0,95,4150,28.0,33.0,17950
,,,,,,,,,,,,,118.0,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,four,134.0,mpfi,7.0,142,5600,18.0,24.0,18150
,,,,,,,,,,,,,119.0,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,four,90.0,2bbl,9.4,68,5500,37.0,41.0,5572
,,,,,,,,,,,,,120.0,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,spdi,7.6,102,5500,24.0,30.0,7957
,,,,,,,,,,,,,121.0,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,9.4,68,5500,31.0,38.0,6229
,,,,,,,,,,,,,122.0,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,four,90.0,2bbl,9.4,68,5500,31.0,38.0,6692
,,,,,,,,,,,,,123.0,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191.0,ohc,four,98.0,2bbl,9.4,68,5500,31.0,38.0,7609
,,,,,,,,,,,,,124.0,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,8.5,88,5000,24.0,30.0,8921
,,,,,,,,,,,,,125.0,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818.0,ohc,four,156.0,spdi,7.0,145,5000,19.0,24.0,12764
,,,,,,,,,,,,,126.0,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,four,151.0,mpfi,9.5,143,5500,19.0,27.0,22018
,,,,,,,,,,,,,127.0,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,9.5,207,5900,17.0,25.0,32528
,,,,,,,,,,,,,128.0,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,9.5,207,5900,17.0,25.0,34028
,,,,,,,,,,,,,129.0,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,six,194.0,mpfi,9.5,207,5900,17.0,25.0,37028
,,,,,,,,,,,,,130.0,porsche,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,eight,203.0,mpfi,10.0,288,5750,17.0,28.0,?
,,,,,,,,,,,,,131.0,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579.0,ohc,four,132.0,mpfi,8.7,?,?,23.0,31.0,9295
,,,,,,,,,,,,,132.0,renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460.0,ohc,four,132.0,mpfi,8.7,?,?,23.0,31.0,9895
,,,,,,,,,,,,,133.0,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658.0,ohc,four,121.0,mpfi,9.31,110,5250,21.0,28.0,11850
,,,,,,,,,,,,,134.0,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121.0,mpfi,9.3,110,5250,21.0,28.0,12170
,,,,,,,,,,,,,135.0,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,four,121.0,mpfi,9.3,110,5250,21.0,28.0,15040
,,,,,,,,,,,,,136.0,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,four,121.0,mpfi,9.3,110,5250,21.0,28.0,15510
,,,,,,,,,,,,,137.0,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808.0,dohc,four,121.0,mpfi,9.0,160,5500,19.0,26.0,18150
,,,,,,,,,,,,,138.0,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,four,121.0,mpfi,9.0,160,5500,19.0,26.0,18620
,,,,,,,,,,,,,139.0,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,four,97.0,2bbl,9.0,69,4900,31.0,36.0,5118
,,,,,,,,,,,,,140.0,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120.0,ohcf,four,108.0,2bbl,8.7,73,4400,26.0,31.0,7053
,,,,,,,,,,,,,141.0,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240.0,ohcf,four,108.0,2bbl,8.7,73,4400,26.0,31.0,7603
,,,,,,,,,,,,,142.0,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145.0,ohcf,four,108.0,2bbl,9.5,82,4800,32.0,37.0,7126
,,,,,,,,,,,,,143.0,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,four,108.0,2bbl,9.5,82,4400,28.0,33.0,7775
,,,,,,,,,,,,,144.0,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,four,108.0,mpfi,9.0,94,5200,26.0,32.0,9960
,,,,,,,,,,,,,145.0,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385.0,ohcf,four,108.0,2bbl,9.0,82,4800,24.0,25.0,9233
,,,,,,,,,,,,,146.0,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,four,108.0,mpfi,7.7,111,4800,24.0,29.0,11259
,,,,,,,,,,,,,147.0,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290.0,ohcf,four,108.0,2bbl,9.0,82,4800,28.0,32.0,7463
,,,,,,,,,,,,,148.0,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455.0,ohcf,four,108.0,mpfi,9.0,94,5200,25.0,31.0,10198
,,,,,,,,,,,,,149.0,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,four,108.0,2bbl,9.0,82,4800,23.0,29.0,8013
,,,,,,,,,,,,,150.0,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650.0,ohcf,four,108.0,mpfi,7.7,111,4800,23.0,23.0,11694
,,,,,,,,,,,,,151.0,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985.0,ohc,four,92.0,2bbl,9.0,62,4800,35.0,39.0,5348
,,,,,,,,,,,,,152.0,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040.0,ohc,four,92.0,2bbl,9.0,62,4800,31.0,38.0,6338
,,,,,,,,,,,,,153.0,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015.0,ohc,four,92.0,2bbl,9.0,62,4800,31.0,38.0,6488
,,,,,,,,,,,,,154.0,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280.0,ohc,four,92.0,2bbl,9.0,62,4800,31.0,37.0,6918
,,,,,,,,,,,,,155.0,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290.0,ohc,four,92.0,2bbl,9.0,62,4800,27.0,32.0,7898
,,,,,,,,,,,,,156.0,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,four,92.0,2bbl,9.0,62,4800,27.0,32.0,8778
,,,,,,,,,,,,,157.0,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081.0,ohc,four,98.0,2bbl,9.0,70,4800,30.0,37.0,6938
,,,,,,,,,,,,,158.0,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109.0,ohc,four,98.0,2bbl,9.0,70,4800,30.0,37.0,7198
,,,,,,,,,,,,,159.0,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275.0,ohc,four,110.0,idi,22.5,56,4500,34.0,36.0,7898
,,,,,,,,,,,,,160.0,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275.0,ohc,four,110.0,idi,22.5,56,4500,38.0,47.0,7788
,,,,,,,,,,,,,161.0,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094.0,ohc,four,98.0,2bbl,9.0,70,4800,38.0,47.0,7738
,,,,,,,,,,,,,162.0,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122.0,ohc,four,98.0,2bbl,9.0,70,4800,28.0,34.0,8358
,,,,,,,,,,,,,163.0,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140.0,ohc,four,98.0,2bbl,9.0,70,4800,28.0,34.0,9258
,,,,,,,,,,,,,164.0,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169.0,ohc,four,98.0,2bbl,9.0,70,4800,29.0,34.0,8058
,,,,,,,,,,,,,165.0,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204.0,ohc,four,98.0,2bbl,9.0,70,4800,29.0,34.0,8238
,,,,,,,,,,,,,166.0,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265.0,dohc,four,98.0,mpfi,9.4,112,6600,26.0,29.0,9298
,,,,,,,,,,,,,167.0,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300.0,dohc,four,98.0,mpfi,9.4,112,6600,26.0,29.0,9538
,,,,,,,,,,,,,168.0,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540.0,ohc,four,146.0,mpfi,9.3,116,4800,24.0,30.0,8449
,,,,,,,,,,,,,169.0,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536.0,ohc,four,146.0,mpfi,9.3,116,4800,24.0,30.0,9639
,,,,,,,,,,,,,170.0,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551.0,ohc,four,146.0,mpfi,9.3,116,4800,24.0,30.0,9989
,,,,,,,,,,,,,171.0,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679.0,ohc,four,146.0,mpfi,9.3,116,4800,24.0,30.0,11199
,,,,,,,,,,,,,172.0,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,four,146.0,mpfi,9.3,116,4800,24.0,30.0,11549
,,,,,,,,,,,,,173.0,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,four,146.0,mpfi,9.3,116,4800,24.0,30.0,17669
,,,,,,,,,,,,,174.0,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,four,122.0,mpfi,8.7,92,4200,29.0,34.0,8948
,,,,,,,,,,,,,175.0,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480.0,ohc,four,110.0,idi,22.5,73,4500,30.0,33.0,10698
,,,,,,,,,,,,,176.0,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414.0,ohc,four,122.0,mpfi,8.7,92,4200,27.0,32.0,9988
,,,,,,,,,,,,,177.0,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414.0,ohc,four,122.0,mpfi,8.7,92,4200,27.0,32.0,10898
,,,,,,,,,,,,,178.0,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458.0,ohc,four,122.0,mpfi,8.7,92,4200,27.0,32.0,11248
,,,,,,,,,,,,,179.0,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976.0,dohc,six,171.0,mpfi,9.3,161,5200,20.0,24.0,16558
,,,,,,,,,,,,,180.0,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,dohc,six,171.0,mpfi,9.3,161,5200,19.0,24.0,15998
,,,,,,,,,,,,,181.0,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131.0,dohc,six,171.0,mpfi,9.2,156,5200,20.0,24.0,15690
,,,,,,,,,,,,,182.0,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151.0,dohc,six,161.0,mpfi,9.2,156,5200,19.0,24.0,15750
,,,,,,,,,,,,,183.0,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261.0,ohc,four,97.0,idi,23.0,52,4800,37.0,46.0,7775
,,,,,,,,,,,,,184.0,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209.0,ohc,four,109.0,mpfi,9.0,85,5250,27.0,34.0,7975
,,,,,,,,,,,,,185.0,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264.0,ohc,four,97.0,idi,23.0,52,4800,37.0,46.0,7995
,,,,,,,,,,,,,186.0,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212.0,ohc,four,109.0,mpfi,9.0,85,5250,27.0,34.0,8195
,,,,,,,,,,,,,187.0,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275.0,ohc,four,109.0,mpfi,9.0,85,5250,27.0,34.0,8495
,,,,,,,,,,,,,188.0,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319.0,ohc,four,97.0,idi,23.0,68,4500,37.0,42.0,9495
,,,,,,,,,,,,,189.0,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300.0,ohc,four,109.0,mpfi,10.0,100,5500,26.0,32.0,9995
,,,,,,,,,,,,,190.0,volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254.0,ohc,four,109.0,mpfi,8.5,90,5500,24.0,29.0,11595
,,,,,,,,,,,,,191.0,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221.0,ohc,four,109.0,mpfi,8.5,90,5500,24.0,29.0,9980
,,,,,,,,,,,,,192.0,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661.0,ohc,five,136.0,mpfi,8.5,110,5500,19.0,24.0,13295
,,,,,,,,,,,,,193.0,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579.0,ohc,four,97.0,idi,23.0,68,4500,33.0,38.0,13845
,,,,,,,,,,,,,194.0,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563.0,ohc,four,109.0,mpfi,9.0,88,5500,25.0,31.0,12290
,,,,,,,,,,,,,195.0,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912.0,ohc,four,141.0,mpfi,9.5,114,5400,23.0,28.0,12940
,,,,,,,,,,,,,196.0,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034.0,ohc,four,141.0,mpfi,9.5,114,5400,23.0,28.0,13415
,,,,,,,,,,,,,197.0,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935.0,ohc,four,141.0,mpfi,9.5,114,5400,24.0,28.0,15985
,,,,,,,,,,,,,198.0,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042.0,ohc,four,141.0,mpfi,9.5,114,5400,24.0,28.0,16515
,,,,,,,,,,,,,199.0,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045.0,ohc,four,130.0,mpfi,7.5,162,5100,17.0,22.0,18420
,,,,,,,,,,,,,200.0,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157.0,ohc,four,130.0,mpfi,7.5,162,5100,17.0,22.0,18950
,,,,,,,,,,,,,201.0,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,four,141.0,mpfi,9.5,114,5400,23.0,28.0,16845
,,,,,,,,,,,,,202.0,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049.0,ohc,four,141.0,mpfi,8.7,160,5300,19.0,25.0,19045
,,,,,,,,,,,,,203.0,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,six,173.0,mpfi,8.8,134,5500,18.0,23.0,21485
